Title,Artist,Nationality,Gender,Year,Medium,Classification
Untitled,Nicholas Híçz,(American),(Male),1940,Dye transfer print,Photograph
Untitled,Nicholas Híçz,(American),(Male),1940,Dye transfer print,Photograph
Untitled,Nicholas Híçz,(American),(Male),1940,Dye transfer print,Photograph
Cat and Wagon,Theodore Lux Feininger,(American),(Male),1940,Gelatin silver print,Photograph
Male Torso,Theodore Lux Feininger,(American),(Male),1940,Gelatin silver print,Photograph
Ladder and Peeling Wall,Theodore Lux Feininger,(American),(Male),1940,Gelatin silver print,Photograph
The Bauhaus Jazz Band,Theodore Lux Feininger,(American),(Male),1940,Gelatin silver print,Photograph
"Muir Pass, Sunset",Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
The Birth of Venus,Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
Summer Snow,Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
"""Le Crete"" at Monte Oliveto",Arnold von Borsig,(German),(Male),1940,Gelatin silver print,Photograph
Florence: Detail of Cupola of Cathedral Dome,Arnold von Borsig,(German),(Male),1940,Gelatin silver print,Photograph
